,00:0f:e2:a1:96:60,06:14:4b:65:38:a6,06:1b:b1:20:a4:35,06:1b:b1:22:36:17,06:1b:b1:22:3b:72,06:1b:b1:22:3b:7a,06:1b:b1:22:3f:ca,06:1b:b1:22:43:2d,06:1b:b1:22:43:54,06:1b:b1:22:43:65,06:1b:b1:22:43:e6,06:1b:b1:22:44:a9,0e:14:4b:65:38:a6,0e:1b:b1:20:a4:35,0e:1b:b1:22:34:2a,0e:1b:b1:22:36:17,0e:1b:b1:22:3b:72,0e:1b:b1:22:3b:7a,0e:1b:b1:22:3f:ca,0e:1b:b1:22:43:2d,0e:1b:b1:22:43:54,0e:1b:b1:22:43:65,0e:1b:b1:22:43:e6,0e:1b:b1:22:44:a9,14:e6:e4:38:16:8c,14:e6:e4:70:1c:60,14:e6:e4:70:ad:a2,20:dc:e6:bc:7e:8c,38:83:45:69:eb:a8,8c:21:0a:37:50:7a,xLabel,yLabel,locaLabel,RoomLabel
141,-90.0,-73.4,-60.2,-63.2,-49.2,-42.6,-60.4,-66.8,-54.6,-72.8,-68.4,-57.0,-76.0,-61.4,-76.0,-63.2,-49.0,-42.2,-60.0,-67.0,-54.8,-72.4,-66.8,-57.2,-63.6,-61.0,-33.6,-72.0,-70.2,-67.2,18.78,19.6,46.0,10.0
142,-78.0,-84.8,-62.8,-59.0,-52.0,-39.2,-54.0,-68.8,-60.4,-78.0,-68.0,-57.8,-86.0,-62.4,-76.0,-59.2,-52.0,-39.2,-54.4,-68.4,-60.4,-78.2,-67.6,-58.2,-58.6,-61.0,-33.4,-73.2,-67.6,-63.0,18.78,20.2,45.0,10.0
143,-78.33333333333333,-85.4,-64.8,-58.2,-49.2,-44.6,-66.8,-68.0,-64.0,-77.2,-68.0,-61.6,-83.8,-65.4,-76.0,-58.6,-49.2,-43.6,-66.8,-68.8,-64.8,-77.6,-68.0,-61.2,-63.0,-57.6,-38.8,-72.0,-71.6,-63.6,18.78,20.8,44.0,10.0
144,-78.0,-74.6,-62.8,-55.4,-48.4,-43.2,-57.0,-72.0,-64.2,-75.6,-64.8,-63.4,-79.4,-61.6,-73.0,-56.0,-48.4,-43.0,-57.2,-68.6,-65.4,-79.6,-64.8,-63.2,-65.75,-63.0,-40.4,-73.2,-73.4,-60.8,19.38,21.4,78.0,10.0
145,-69.4,-78.4,-64.8,-62.0,-55.2,-42.8,-65.8,-73.2,-66.6,-72.0,-61.2,-55.2,-76.0,-65.2,-77.2,-62.0,-55.2,-42.8,-66.4,-73.0,-66.8,-74.6,-60.8,-55.2,-57.6,-62.4,-55.0,-72.0,-77.0,-65.4,19.38,12.4,63.0,10.0
146,-77.0,-78.8,-62.2,-67.0,-52.2,-46.8,-68.2,-76.4,-64.2,-80.2,-67.0,-58.6,-75.2,-63.6,-73.6,-67.0,-52.2,-46.8,-68.0,-75.8,-63.2,-76.4,-67.0,-58.0,-47.6,-66.8,-48.6,-81.0,-70.5,-54.0,19.38,11.2,61.0,10.0
147,-72.8,-75.4,-64.2,-62.0,-53.6,-44.8,-63.4,-73.8,-58.6,-75.0,-62.0,-53.8,-74.8,-64.0,-73.6,-61.8,-53.6,-45.2,-63.6,-75.2,-59.2,-75.2,-61.8,-54.0,-49.6,-63.8,-50.0,-72.0,-74.0,-64.2,19.38,13.0,64.0,10.0
148,-71.0,-70.4,-63.2,-66.4,-53.4,-39.2,-66.4,-70.4,-59.8,-71.4,-51.2,-52.4,-70.4,-62.8,-72.2,-66.2,-53.4,-39.6,-66.2,-70.8,-59.6,-71.2,-50.8,-52.8,-54.8,-64.0,-51.0,-68.4,-75.0,-65.8,19.38,13.6,65.0,10.0
149,-68.6,-73.0,-62.2,-67.0,-52.0,-40.2,-66.2,-72.4,-58.0,-69.8,-45.8,-55.6,-72.0,-61.8,-75.0,-66.6,-51.8,-39.8,-66.0,-72.4,-57.4,-69.0,-46.0,-55.6,-55.0,-67.0,-51.2,-75.0,-72.0,-66.4,19.38,14.2,66.0,10.0
150,-73.8,-71.8,-62.4,-65.8,-51.8,-40.6,-64.8,-72.6,-54.6,-72.6,-50.2,-53.0,-71.0,-64.4,-73.6,-65.6,-51.8,-40.4,-64.8,-71.0,-54.6,-70.4,-50.0,-53.0,-58.2,-63.0,-48.2,-78.0,-72.66666666666667,-65.8,19.38,14.8,67.0,10.0
151,-71.6,-70.0,-61.0,-65.0,-48.4,-35.2,-62.2,-70.6,-58.8,-70.2,-53.8,-55.8,-70.4,-60.4,-72.0,-65.2,-48.4,-35.4,-62.0,-68.0,-59.2,-70.2,-53.8,-56.0,-57.0,-62.8,-49.2,-72.0,-78.8,-69.0,19.38,15.4,68.0,10.0
152,-75.4,-69.0,-61.2,-63.2,-46.4,-36.8,-62.8,-65.0,-58.0,-69.2,-54.8,-56.0,-68.0,-61.4,-72.0,-63.2,-46.0,-35.8,-63.0,-66.4,-58.2,-69.6,-54.8,-56.0,-54.6,-67.5,-49.0,-72.0,-77.0,-69.8,19.38,16.0,69.0,10.0
153,-76.2,-71.6,-61.8,-63.6,-46.0,-39.6,-69.6,-67.8,-59.2,-70.0,-57.8,-52.8,-70.8,-62.4,-72.0,-63.8,-45.8,-39.0,-69.0,-67.6,-59.8,-69.8,-58.0,-52.6,-56.6,-65.6,-45.6,-72.5,-73.0,-65.6,19.38,16.6,70.0,10.0
154,-68.8,-82.0,-62.2,-58.4,-46.6,-40.2,-57.4,-62.4,-59.0,-74.4,-61.2,-58.4,-82.0,-62.4,-69.0,-58.0,-46.6,-39.6,-57.0,-62.0,-59.4,-73.4,-61.4,-58.6,-56.4,-63.6,-41.8,-69.6,-77.0,-64.4,19.38,17.2,71.0,10.0
155,-70.33333333333333,-78.0,-61.4,-58.8,-48.0,-41.6,-57.6,-60.8,-56.0,-71.6,-63.4,-55.2,-78.8,-60.6,-71.0,-59.0,-47.6,-40.4,-57.6,-61.2,-56.2,-70.4,-63.8,-55.4,-61.2,-62.8,-41.4,-74.33333333333333,-78.0,-63.8,19.38,17.8,72.0,10.0
156,-73.0,-74.2,-61.0,-59.6,-48.0,-42.2,-63.2,-63.0,-59.0,-70.4,-64.4,-51.6,-76.2,-60.4,-72.6,-59.8,-47.8,-41.2,-63.0,-66.8,-61.2,-71.0,-64.2,-52.2,-60.0,-65.2,-38.2,-74.5,-75.8,-66.0,19.38,18.4,73.0,10.0
157,-72.2,-76.0,-60.2,-67.0,-56.0,-46.2,-66.0,-74.6,-63.2,-74.2,-66.6,-54.8,-76.0,-59.4,-80.0,-67.2,-56.0,-46.4,-66.0,-74.0,-62.6,-75.4,-66.8,-55.2,-48.0,-62.8,-47.4,-75.6,-77.4,-59.6,19.38,11.8,62.0,10.0
158,-73.2,-73.6,-62.0,-64.0,-46.8,-41.8,-63.8,-64.8,-63.6,-71.6,-66.4,-54.4,-75.2,-61.6,-74.8,-63.0,-46.6,-42.2,-63.8,-65.2,-63.6,-72.0,-66.6,-54.4,-60.6,-66.0,-42.4,-72.0,-70.0,-65.8,19.38,19.0,74.0,10.0
