id,position1,position2,position3,position4,position5,position6,position7,position8,position9,position10,position11,position12,position13,position14,position15,position16,position17,position18,position19,position20,position21,position22,position23,position24,position25,position26,position27,position28,position29,position30,xlabel,ylabel
26,-71.4,-70.2,-62.2,-60.2,-53.6,-38.2,-62.4,-66.4,-60.4,-69.6,-62.6,-54.4,-71.2,-62.8,-70.2,-60,-53.6,-38.2,-62.4,-66.6,-61,-69.4,-62.6,-54.6,-60.8,-63,-52.6,-71.6,-75,-62,15.78,16
27,-70.6,-84.2,-63.4,-59.4,-55,-42.8,-64,-71,-62.6,-77.2,-57.6,-53.4,-79.6,-63.2,-70,-59.6,-55.2,-42.4,-64,-70.2,-63,-76.4,-57.6,-53.2,-57.4,-67.8,-51.2,-70,-70.6,-65,15.78,16.6
28,-68.6,-75.8,-61,-57.6,-53.6,-39.6,-58.8,-71.2,-61.8,-71.6,-62.4,-57,-75.4,-62,-73.4,-57.4,-53.6,-38.6,-59.6,-71.4,-62.4,-72,-62,-57.2,-57,-67.4,-49,-67.2,-67.2,-69.2,15.78,17.2
29,-69,-72.2,-60.6,-58.8,-51.6,-40,-60.2,-66.6,-60.8,-73.6,-62,-55.8,-71,-60.2,-73.4,-59.4,-51.4,-39.4,-60.2,-66.8,-60.6,-72.6,-61.8,-55.6,-61.8,-61.4,-46,-72.5,-69.2,-70.4,15.78,17.8
30,-72,-72.6,-64.4,-59.4,-52.6,-43.8,-61.6,-64.4,-63.2,-73.2,-59.4,-57.2,-72.6,-64.6,-75,-59.6,-52.6,-43.6,-61.6,-64,-63.2,-73.2,-59,-57,-61.2,-66.8,-45,-75.8,-73.4,-64.2,15.78,18.4
31,-71.2,-76.6,-63.8,-71,-55.6,-40.4,-62.2,-77.2,-66.6,-70.2,-61.2,-61.6,-76.6,-63.2,-77,-70.8,-55.2,-41.2,-62.2,-77.4,-66.2,-70,-61,-61.4,-52.2,-67.4,-54.4,-64.8,-72.4,-61,15.78,11.8
32,-68.25,-74,-68.4,-60.4,-53.8,-42.4,-60.8,-61.2,-64.6,-77.6,-63.2,-65.2,-69,-67.6,-74.6,-60.2,-53.8,-42.4,-61,-60.8,-65.6,-76.6,-62.8,-65.4,-58,-64.2,-41.6,-79.5,-73,-68.4,15.78,19
33,-75.4,-74,-65.8,-59.2,-54,-43.2,-58.6,-58.6,-64.2,-74.2,-70.8,-62,-80,-67.2,-77,-59.2,-54,-43.6,-58.6,-58.2,-64.4,-74.2,-71.8,-62,-57,-62.8,-43.4,-74.8,-67.8,-66.2,15.78,19.6
34,-73.8,-75.8,-65.4,-54.8,-52.4,-45,-59.8,-63.4,-61.4,-71.6,-67.4,-60.2,-77.6,-64.6,-76.4,-54.8,-52.4,-45.4,-59.6,-61.6,-61.8,-71,-68,-59.8,-60.8,-66.4,-45,-73,-69.6,-64.6,15.78,20.2
35,-74,-77,-63.6,-55.4,-53.2,-46.8,-54.8,-65.8,-63.4,-74.4,-63.4,-62.4,-81.4,-63.8,-76,-55.4,-52.8,-46.4,-55,-66.2,-63,-74.2,-63,-62.2,-58.2,-62.8,-43,-81,-66.4,-67.2,15.78,20.8
